transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,date_year,date_month,date_weekday,date_hour,date_minute,date_seconde,temp,humidity,visibility,wind,rain
0,6608G,82,,,,2020-11-08 00:43:11.904447,,2020,11,6,0,43,11,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:44:12.557918,,2020,11,6,0,44,12,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:44:12.558633,,2020,11,6,0,44,12,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:44:12.559287,,2020,11,6,0,44,12,281.14,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:44:12.559931,,2020,11,6,0,44,12,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:45:13.160297,,2020,11,6,0,45,13,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:45:13.160980,,2020,11,6,0,45,13,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:45:13.161634,,2020,11,6,0,45,13,281.14,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:45:13.162300,,2020,11,6,0,45,13,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:46:14.044614,,2020,11,6,0,46,14,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:46:14.045300,,2020,11,6,0,46,14,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:46:14.045973,,2020,11,6,0,46,14,281.14,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:46:14.046622,,2020,11,6,0,46,14,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:47:14.648471,,2020,11,6,0,47,14,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:47:14.649155,,2020,11,6,0,47,14,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:47:14.649809,,2020,11,6,0,47,14,281.14,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:47:14.650472,,2020,11,6,0,47,14,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:48:15.268563,,2020,11,6,0,48,15,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:48:15.269249,,2020,11,6,0,48,15,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:48:15.269907,,2020,11,6,0,48,15,281.14,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:48:15.270582,,2020,11,6,0,48,15,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:49:15.870518,,2020,11,6,0,49,15,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:49:15.871207,,2020,11,6,0,49,15,279.88,87,10000,1.5,0
