transport_type,trip,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,temp,humidity,visibility,wind,rain
0,,5507,44,,,,2020-11-26 00:20:43.776540,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5508,39,,,,2020-11-26 00:20:43.955768,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5508,44,,,,2020-11-26 00:20:43.956376,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5509,39,,,,2020-11-26 00:20:44.134222,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5510,39,,,,2020-11-26 00:20:44.314473,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5512,39,,,,2020-11-26 00:20:46.354713,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,6474F,39,,,,2020-11-26 00:20:46.538058,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5529,39,,,,2020-11-26 00:20:46.716909,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5532,39,,,,2020-11-26 00:20:46.899805,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5515,39,,,,2020-11-26 00:20:47.078006,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5516,39,,,,2020-11-26 00:20:47.260910,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5517,39,,,,2020-11-26 00:20:47.439338,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5518,39,,,,2020-11-26 00:20:47.622377,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5519,39,,,,2020-11-26 00:20:47.801181,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,0089,39,,,,2020-11-26 00:23:19.274805,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,0089,44,,,,2020-11-26 00:23:19.275546,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5501,39,,,,2020-11-26 00:23:19.276581,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5501,44,,,,2020-11-26 00:23:19.277582,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5502,39,,,,2020-11-26 00:23:19.278571,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5502,44,,,,2020-11-26 00:23:19.279558,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5503,39,,,,2020-11-26 00:23:19.280560,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5503,44,,,,2020-11-26 00:23:19.281552,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5504,39,,,,2020-11-26 00:23:19.282543,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5504,44,,,,2020-11-26 00:23:19.283529,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5281G,39,,,,2020-11-26 00:23:19.284222,,2020,11,3,0,23,280.97,81,10000,3.6,0
0,,5281G,44,,,,2020-11-26 00:23:19.284750,,2020,11,3,0,23,280.97,81,10000,3.6,0
